"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"REVISTA DE ESTUDIOS LATINOS","2255-5056","2255-5056","SOC ESTUDIOS LATINOS","SOC ESTUDIOS LATINOS, MADRID, SPAIN, 00000","","Language & Linguistics"
"REVISTA DE ESTUDIOS POLITICOS Y ESTRATEGICOS","0719-3653","0719-3688","UNIV TECNOLOGICA METROPOLITANA ESTADO CHILE","DIECIOCHO 161, SANTIAGO, CHILE, 97279","English, Spanish","Social Sciences, General | Development Studies"
"REVISTA DE ESTUDIOS REGIONALES","0213-7585","0213-7585","ASOC UNIV PUBLICAS ANDALUCIA-AUPA","C ANCHA 16, UNIV CADIZ, CADIZ, SPAIN, 11001","","Social Sciences, General | Environmental Studies"
"REVISTA DE ESTUDOS CONSTITUCIONAIS HERMENEUTICA E TEORIA DO DIREITO-RECHTD","","2175-2168","UNIV VALE DORIO SINOS-UNISINOS","UNIDADE ACADEMICA DE PESQUISA E POS-GRADUACAO, EDITORIA PERIODICOS CIENTIFICOS, AV UNISINOS, 950, SAO LEOPOLDO, BRAZIL, RS, 93 022-000","English, Portuguese, Spanish","Law"
"REVISTA DE ESTUDOS DA LINGUAGEM","0104-0588","2237-2083","UNIV FEDERAL MINAS GERAIS, FAC LETRAS","AV ANTONIO CARLOS, 6627 PAMPULHA, SALA 3025, BELO HORIZONTE, BRAZIL, MG 31270-901","English, Portuguese","Language & Linguistics"
"REVISTA DE EVALUACION DE PROGRAMAS Y POLITICAS PUBLICAS","2340-8464","2340-8464","UNIV NACL EDUCACION & DISTANCIA-UNED","BRAVO MURILLO 38, MADRID, SPAIN, 00000","English, Spanish","Social Sciences, General | Public Administration"
"REVISTA DE FILOLOGIA ALEMANA","1133-0406","1988-2823","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","","Literature, German, Dutch, Scandinavian"
"REVISTA DE FILOLOGIA DE LA UNIVERSIDAD DE LA LAGUNA","0212-4130","0212-4130","UNIV LA LAGUNA","SECRETARIADO PUBLICACIONES, CAMPUS CENTRAL, LA LAGUNA-TENERIFE, CANARY ISLANDS, SPAIN, 38071","","Language & Linguistics"
"REVISTA DE FILOSOFIA-MADRID","0034-8244","1988-284X","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","English, French, German, Italian, Portuguese, Spanish","Philosophy"
"REVISTA DE FILOSOFIA UIS","1692-2484","2145-8529","UNIV INDUSTRIAL SANTANDER","CIUDAD UNIV, CARRERA 27, CALLE 9, SANTANDER, COLOMBIA, BUCARAMANGA, 00000","English, Spanish","Philosophy"
"REVISTA DE FILOSOFIA Y TEORIA POLITICA","0328-6223","2314-2553","UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC","CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900","Spanish","Philosophy"
"REVISTA DE GASTROENTEROLOGIA DE MEXICO","0375-0906","0375-0906","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","Spanish","Clinical Medicine | Gastroenterology & Hepatology"
"REVISTA DE GESTAO AMBIENTAL E SUSTENTABILIDADE-GEAS","2316-9834","2316-9834","UNIV NOVE JULHO","AV FRANCISCO MATARAZZO 612, AGUA BRANCA, SAO PAULO, BRAZIL, C05001-100","English, Portuguese, Spanish","Environmental Sciences | Green & Sustainable Science & Technology | Environment/Ecology"
"REVISTA DE GESTAO EM SISTEMAS DE SAUDE-RGSS","2316-3712","2316-3712","UNIV NOVE JULHO","AV FRANCISCO MATARAZZO 612, AGUA BRANCA, SAO PAULO, BRAZIL, C05001-100","English, Portuguese, Spanish","Economics & Business | Health Policy & Services"
"REVISTA DE GESTAO E PROJETOS","2236-0972","2236-0972","UNIV NOVE JULHO","AV FRANCISCO MATARAZZO 612, AGUA BRANCA, SAO PAULO, BRAZIL, C05001-100","English, Portuguese, Spanish","Business | Economics & Business"
"REVISTA DE GESTAO E SECRETARIADO-GESEC","2178-9010","2178-9010","SINDICATO SECRETARIAS ESTADO SAO PAULO","RUA TUPI 118, SAO PAULO, BRAZIL, 01233-000","English, Portuguese, Spanish","Management | Economics & Business"
"REVISTA DE GESTAO FINANCAS E CONTABILIDADE","2238-5320","2238-5320","EDITORA UNIV ESTADO BAHIA","RUA SILVEIRA MARTINS, 2555, CABULA, SALVADOR, BAHIA, BRAZIL, 41 150-000","English, Portuguese, Spanish","Social Sciences, General | Business, Finance"
"REVISTA DE GESTION PUBLICA","0719-1820","0719-1839","CENTRO ESTUDIOS GESTION & POLITICA PUBLICA","CENTRO ESTUDIOS GESTION & POLITICA PUBLICA, SANTIAGO, CHILE, 00000","","Social Sciences, General | Public Administration"
"REVISTA DE HISTORIA DAS IDEIAS","0870-0958","2183-8925","COIMBRA UNIV PRESS","RUA DA ILHA, NO 1, COIMBRA, PORTUGAL, 3000-214","Portuguese","History"
"REVISTA DE HISTORIA DE LA PSICOLOGIA","","2445-0928","SPANISH SOC HISTORY PSYCHOLOGY & COLEGIO PSICOLOGOS MADRID-UNED","DEPT PSICOLOGIA BASICA I, FAC PSICOLOGIA, CALLE JUAN ROSAL, 10 MADRID, SPAIN, 28040","","Social Sciences, General | Psychology, Multidisciplinary"
"REVISTA DE HISTORIA-SAO PAULO","0034-8309","2316-9141","UNIV SAO PAULO, FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS","AV PROFESSOR LUCIANO GUALBERTO 315, BUTANTA, SAO PAULO, BRAZIL, SP, 05508-010","Portuguese","History | Social Sciences, General"
"REVISTA DE HISTORIOGRAFIA","1885-2718","2445-0057","UNIV CARLOS III MADRID, INST HISTORIOGRAFIA JULIO CARO BAROJA","DESPACHO 14.2.10, C MADRID 126, GETAFE, MADRID, SPAIN, 28903","","History"
"REVISTA DE HUMANIDADES","1130-5029","2340-8995","UNIV NACIONAL EDUCACION DISTANCIA","PO SENDA REY,BRAVO MURILLO 38, MADRID, SPAIN, 7-28040","English, Spanish","Humanities, Multidisciplinary"
"REVISTA DE INVESTIGACION EDUCATIVA DE LA ESCUELA DE GRADUADOS EN EDUCACION","2007-3003","2007-2996","INST TECNOLOGICO MONTERREY","INST TECNOLOGICO MONTERREY, MONTERREY, MEXICO, 00000","Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA DE INVESTIGACION EN EDUCACION","1697-5200","2172-3427","DIPUTACION PROVINCIAL PONTEVEDRA","AVE MONTE RIOS, S-N, PONTEVEDRA, SPAIN, 36071","","Social Sciences, General | Education & Educational Research"
"REVISTA DE INVESTIGACION EN LOGOPEDIA","2174-5218","2174-5218","UNIV CASTILLA-LA MANCHA","C/ ALTAGRACIA 50, CIUDAD REAL, SPAIN, 13071","English, Spanish","Social Sciences, General | Linguistics"
"REVISTA DE INVESTIGACIONES POLITICAS Y SOCIOLOGICAS","1577-239X","2255-5986","UNIV SANTIAGO COMPOSTELA","SERVICIO DE PUBLICACIONES E INTERCAMBIO CIENTIFICO, CAMPUS UNIV SUR, SANTIAGO DE COMPOSTELA, SPAIN, 15782","","Political Science | Social Sciences, General"
"REVISTA DE INVESTIGACIONES-UNIVERSIDAD DEL QUINDIO","1794-631X","1794-631X","UNIV QUINDIO","CERRADA 15 C11 12 N, ARMENIA, QUINDIO, COLOMBIA, 00000","Spanish","Multidisciplinary | Multidisciplinary Sciences"
"REVISTA DE INVESTIGACIONES VETERINARIAS DEL PERU","1682-3419","1609-9117","UNIV NACIONAL MAYOR SAN MARCOS","FAC MED VET, AV CIRCUNVALACION CDRA 28 S-N, SAN BORJA, PERU, LIMA, 00000","","Plant & Animal Science | Veterinary Sciences"
"REVISTA DE INVESTIGACION LINGUISTICA","1139-1146","1989-4554","EDIT UM-EDICIONES UNIV MURCIA","EDIFICIO SAAVEDRA FAJARDO, C/O ACTOR ISIDORO MAIQUEZ 9, MURCIA, SPAIN, 30007","Spanish","Social Sciences, General | Linguistics"
"REVISTA DE INVESTIGACION SOBRE FLAMENCO-LA MADRUGA","1989-6042","1989-6042","EDIT UM-EDICIONES UNIV MURCIA","EDIFICIO SAAVEDRA FAJARDO, C/O ACTOR ISIDORO MAIQUEZ 9, MURCIA, SPAIN, 30007","","Music"
"REVISTA DE INVESTIGACOES CONSTITUCIONAIS-JOURNAL OF CONSTITUTIONAL RESEARCH","2359-5639","2359-5639","UNIV FEDERAL PARANA, EDITORA","RUA JOAO NEGRAO 280, CURITIBA, PARANA, BRAZIL, 80060-200","English, Portuguese, Spanish","Social Sciences, General | Law"
"REVISTA DE LA FACULTAD DE DERECHO","0797-8316","2301-0665","UNIV REPUBLICA, FAC DERECHO","AVDA 18 JULIO 1824, MONTEVIDEO, URUGUAY, 11200","Spanish","Social Sciences, General | Law"
"REVISTA DE LA FEDERACION ARGENTINA DE CARDIOLOGIA","0326-646X","1666-5694","FEDERACION ARGENTINA CARDIOLOGIA","BULNES 1004, BUENOS AIRES, ARGENTINA, C1176ABT","","Clinical Medicine | Cardiac & Cardiovascular Systems"
"REVISTA DE LA SOCIEDAD GEOLOGICA DE ESPANA","0214-2708","2255-1379","SOC GEOLOGICA ESPANA, DPT INGENIERA GEOLOGICA, UNIV POLITECNICA  MADR","C/O JOSE EUGENIO ORTIZ MENENDEZ, SECRETARIO, ESCUELA TECNICA SUPERIOR DE INGENIEROS DE MINAS,, MADRID, SPAIN, E-28003","","Geosciences | Geosciences, Multidisciplinary"
"REVISTA DE LA UNIVERSIDAD DEL ZULIA","0041-8811","0041-8811","UNIV ZULIA, FAC HUMANIDADES EDUCACION, CENTRO INVE","APARTADO 526, MARACAIBO, VENEZUELA, ZULIA, 00000","","Social Sciences, General | Social Sciences, Interdisciplinary"
"REVISTA DEL CUERPO MEDICO DEL HOSPITAL NACIONAL ALMANZOR AGUINAGA ASENJO","2225-5109","2227-4731","HOSPITAL NACL ALMANZOR AGUINAGA ASENJO, ASOC CUERPO MEDICO","PLAZA SEGURIDAD SOCIAL S-N, CHICLAYO, PERU, 00000","","Clinical Medicine | Medicine, General & Internal"
"REVISTA DE LETRAS NORTE@MENTOS","1983-8018","1983-8018","UNIV ESTADO MATO GROSSO","AV TANCREDO NEVES 1095, CAVALHADA II, CACERES, BRAZIL, MT, 78200-000","Portuguese","Language & Linguistics"
"REVISTA DE LINGUISTICA Y LENGUAS APLICADAS","1886-2438","1886-6298","UNIV POLITECNICA VALENCIA, EDITORIAL UPV","CAMINO VERA S-N, VALENCIA, SPAIN, 46022","English, Spanish","Language & Linguistics"
"REVISTA DE LLENGUA I DRET-JOURNAL OF LANGUAGE AND LAW","0212-5056","2013-1453","ESCOLA ADM PUBLICA CATALUNYA","C GIRONA, 20, BARCELONA, SPAIN, 08010","Aragonese, Basque, Catalan, Dutch, English, French, Galician, German, Italian, Occitan (Post 1500), Spanish","Social Sciences, General | Law"
"REVISTA DE MEDIACION","1888-6485","2340-9754","INST MOTIVACIONAL ESTRATEGICO","INST MOTIVACIONAL ESTRATEGICO, MADRID, SPAIN, 00000","","Social Sciences, General | Social Sciences, Interdisciplinary"
"REVISTA DE MUSICOLOGIA","0210-1459","0210-1459","SOC ESPANOLA MUSICOLOGIA","CARRETAS 14, 70 DESP B-3, MADRID, SPAIN, 28012","","Music"
"REVISTA DE OSTEOPOROSIS Y METABOLISMO MINERAL","1889-836X","2173-2345","SOC ESPANOLA INVESTIGACION OSEA & METABOLISMO MINERAL","PASEO CASTELLANA, 135, 7A PLANTA, MADRID, SPAIN, 28046","English, Spanish","Endocrinology & Metabolism"
"REVISTA DE PAZ Y CONFLICTOS","1988-7221","1988-7221","UNIV GRANADA, INST PAZ CONFLICTOS","CALLE RECTOR LOPEZ ARGUETA S/N, GRANADA, SPAIN, 18071","English, French, Italian, Portuguese, Spanish","Political Science | Social Sciences, General"
"REVISTA DE PEDAGOGIA UNIVERSITARIA Y DIDACTICA DEL DERECHO","0719-5885","0719-5885","UNIV CHILE, FAC DERECHO","PIO NONO NO 1, PROVIDENCIA, SANTIAGO DE CHILE, CHILE, 00000","Portuguese, Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA DE PESQUISA-CUIDADO E FUNDAMENTAL ONLINE","2175-5361","2175-5361","UNIV FEDERAL ESTADO RIO DE JANEIRO, PROGRAMA POS-GRADUACAO & ENFERMAGEM","C/O FERNANDO RAMOS PORTO, AV PASTEU 296, URCA, RIO DE JANEIRO, BRAZIL, 00000","English, Portuguese","Clinical Medicine | Nursing"
"REVISTA DE PSICOLOGIA CLINICA CON NINOS Y ADOLESCENTES","2340-8340","2340-8340","UNIV MIGUEL HERNANDEZ, DEPT PSICOLOGIA","CRTA NACIONAL N-332 S-N, SAN JUAN DE ALICANTE, SPAIN, 03550","Spanish","Psychiatry/Psychology | Psychology, Developmental"
"REVISTA DE PSICOLOGIA PUCP","0254-9247","2223-3733","PONTIFICIA UNIV CATOLICA PERU","AV UNIVERSITARIA 1801, SAN MIGUEL, PERU, LIMA, 32","English, Portuguese, Spanish","Psychiatry/Psychology | Psychology, Multidisciplinary"
"REVISTA DE PSICOTERAPIA","1130-5142","2339-7950","REVISTA PSIQUIATRIA & PSICOLOGIA HUMANISTA, S L","NUMANCIA, 52, 2O, 2A, BARCELONA, Spain, 08029","","Psychology, Clinical"
"REVISTA DE SALUD AMBIENTAL","1577-9572","1697-2791","SOC ESPANOLA SANIDAD AMBIENTAL","C LONDRES 17, MADRID, SPAIN, 28028","English, Portuguese, Spanish","Clinical Medicine | Public, Environmental & Occupational Health"
"REVISTA DE SALUD PUBLICA-CORDOBA","1853-1180","1852-9429","UNIV NAC CORDOBA, ESCUELA SALUD PUBLICA","ENRIQUE BARROSESQQ ENFERMERA GORDILLO GOMEZ, CIUDAD UNIV, CORDOBA, ARGENTINA, 5000","Spanish","Social Sciences, General | Public, Environmental & Occupational Health"
"REVISTA DE SOCIEDAD GADITANA DE HISTORIA NATURAL","1577-2578","2340-5759","SOC GADITANA HISTORIA NATURAL","SOC GADITANA HISTORIA NATURAL, JEREZ DE LA FRONTERA, SPAIN, 00000","","Environmental Sciences | Environment/Ecology"
"REVISTA DE TELEDETECCION","1133-0953","1988-8740","UNIV POLITECNICA VALENCIA, EDITORIAL UPV","CAMINO VERA S-N, VALENCIA, SPAIN, 46022","English, Spanish","Remote Sensing"
"REVISTA DE TRANSPORTE Y TERRITORIO","1852-7175","1852-7175","UNIV BUENOS AIRES, INST GEOGRAFIA","PUAN 480 PISO 4, BUENOS AIRES, ARGENTINA, 1406","","Social Sciences, General | Transportation"
"REVISTA DE URBANISMO","0717-5051","0717-5051","UNIV CHILE, FAC ARQUITECTURA & URBANISMO","CASILLA 3387, SANTIAGO, CHILE, 00000","Spanish","Urban Studies | Social Sciences, General"
"REVISTA DIGITAL DE DERECHO ADMINISTRATIVO","2145-2946","2145-2946","UNIV EXTERNADO COLOMBIA","CALLE 12 NO 1-17 ESTE, BOGOTA, COLOMBIA, 00000","Spanish","Social Sciences, General | Law"
"REVISTA DIGITAL DE ICONOGRAFIA MEDIEVAL","2254-7312","2254-853X","UNIV COMPLUTENSE MADRID, FAC GEOGRAFIA & HISTORIA","AVE COMPLUTENSE S-N, MADRID, SPAIN, 28040","Spanish","Medieval & Renaissance Studies"
"REVISTA DIGITAL DE INVESTIGACION EN DOCENCIA UNIVERSITARIA-RIDU","2223-2516","2223-2516","UNIV PERUANA CIENCIAS APLICADAS","PROLONGACION PRIMAVERA 2390, MONTERRICO, LIMA, PERU, 00000","English, Portuguese, Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA DIGITAL LAMPSAKOS","2145-4086","2145-4086","FUNDACION UNIV LUIS AMIGO","TRANSVERSAL 51 A, MEDELLIN, COLOMBIA, 67B 90","English, Spanish","Engineering, Multidisciplinary | Engineering"
"REVISTA DIGITAL MUNDO ASIA PACIFICO","2344-8172","2344-8172","UNIV EAFIT","CARRERA 49 N 7, BLOQUE 38, OFICINA 331, MEDELLIN, COLOMBIA, SURAMERICA, SUR-50","","Social Sciences, General | Area Studies"
"REVISTA DIREITO AMBIENTAL E SOCIEDADE","2316-8218","2237-0021","UNIV CAXIAS SUL, CENTRO CIENCIAS COMUNICACAO","RUA FRANCISCO GETULIO VARGAS, 1130, CAXIAS DO SUL, BRAZIL, 95070-560","Portuguese","Social Sciences, General | Law"
"REVISTA DIREITO E LIBERDADE","1809-3280","2177-1758","ESCOLA MAGISTRATURA RIO GRANDE NORTE","RUA PROMOTOR MANOEL ALVES PESSOA NETO 1000, CANDELARIA, NATAL, BRAZIL, RN, 59065-555","Portuguese","Social Sciences, General | Law"
"REVISTA DIREITO GV","1808-2432","2317-6172","FUNDACAO GETULIO VARGAS, ESCOLA DIREITO","RUA ROCHA, 23 11 ANDAR, SAO PAULO SP, BRAZIL, 01330-0000","English, Portuguese","Social Sciences, General | Law"
"REVISTA DO CURSO DE DIREITO DO UNIFOR","2236-7632","2236-7632","FUNDACAO EDUCACIONAL COMUNITARIA FORMIGUENSE","AV DR ARNALDO SENNA 328, AGUA VERMELHA, FORMIGA, BRAZIL, MG 35570-00","","Social Sciences, General | Law"
"REVISTA DO SERVICO PUBLICO","0034-9240","2357-8017","ESCOLA NACL ADM PUBLICA-ENAP","DIRETORIA COMUNICACAO & PESQUISA, SAIS- AREA 2-A, BRASILIA, BRAZIL, DF 70610-900","","Social Sciences, General | Public Administration"
"REVISTA ECONOMIA","0254-4415","2304-4306","PONTIFICIA UNIV CATOLICA PERU","AV UNIVERSITARIA 1801, SAN MIGUEL, PERU, LIMA, 32","English, Spanish","Economics | Economics & Business"
"REVISTA ECONOMIA Y SOCIEDAD","1409-1070","2215-3403","UNIV NACL, EDITORIAL","APARTADO 86, HEREDIA, COSTA RICA, 3000","English, Spanish","Economics | Economics & Business"
"REVISTA ECORFAN","2007-1582","2007-3682","REVISTA ECORFAN","REVISTA ECORFAN, ECATEPEC, MEXICO, 00000","","Business | Economics & Business"
"REVISTA EDAPECI-EDUCACAO A DISTANCIA E PRATICAS EDUCATIVAS COMUNICACIONAIS E INTERCULTURAIS","2176-171X","2176-171X","UNIV FEDERAL SERGIPE","AV VEREADOR OLIMPIO GRANDE, ITABAIANA, SERGIPE, BRAZIL, 00000","Portuguese","Social Sciences, General | Education & Educational Research"
"REVISTA EDUCACAO E LINGUAGENS","2238-6084","2238-6084","UNIV ESTADUAL PARANA, ESCOLA MUSICA & BELAS ARTES PARANA","RUA COMENDADOR MACEDO 254, CURITIBA, BRAZIL, PR, 80060-030","","Social Sciences, General | Education & Educational Research"
"REVISTA EDUCACION","0379-7082","2215-2644","UNIV COSTA RICA, EDITORIAL","SEDE RODRIGO FACIO BRENES, MONTES DE OCA, SAN JOSE, COSTA RICA, 00000","Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA EDUCACION EN INGENIERIA","1900-8260","1900-8260","ASOC COLOMBIANA, FAC INGENIERIAS","CARRERA 68 D 25B-205 86 OFFICE, BOGOTA, COLOMBIA, 00000","","Engineering, Multidisciplinary | Engineering"
"REVISTA EDUCAONLINE","1983-2664","1983-2664","UNIV FEDERAL RIO DE JANEIRO, ESCOLA COMUNICACAO","LAB PESQUISA & TECNOLOGIAS INF COMUN, AV PASTEUR, 250, FUNDOS, RIO DE JANEIRO, BRAZIL, RJ 22290-240","","Education & Educational Research"
"REVISTA ELECTRONICA CALIDAD EN LA EDUCACION SUPERIOR","1659-4703","1659-4703","UNIV ESTATAL DISTANCIA","SAN PEDRO MONTES OCA, SAN JOSE, COSTA RICA, 2050","","Social Sciences, General | Education & Educational Research"
"REVISTA ELECTRONICA COMPLUTENSE DE INVESTIGACION EN EDUCACION MUSICAL-RECIEM","1698-7454","1698-7454","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","English, Portuguese, Spanish","Education & Educational Research | Music"
"REVISTA ELECTRONICA DE ESTUDIOS INTERNACIONALES","1697-5197","1697-5197","ASOC ESPANOLA PROFESORES DERECHO INT & RELACIONES INT-AEPDIRI","ESCUELA DIPLOMATICA, PASEO DE JUAN XXIII NO 5, MADRID, SPAIN, 28040","English, Spanish","Social Sciences, General | Law"
"REVISTA ELECTRONICA DE FUENTES Y ARCHIVOS","1853-4503","1853-4503","CENTRO DE ESTUDIOS HISTORICOS PROF CARLOS S A SEGRETI","CANONIGO M CORRO 308, CORDOBA, ARGENTINA, 00000","","History"
"REVISTA ELECTRONICA DE INVESTIGACION DOCENCIA Y CREATIVIDAD-DOCREA","2174-7822","2174-7822","ASOC DOCENCIA & CREATIVIDAD","ASOC DOCENCIA & CREATIVIDAD, GRANADA, SPAIN, 00000","","Social Sciences, General | Education & Educational Research"
"REVISTA ELECTRONICA DE INVESTIGACION EDUCATIVA","1607-4041","1607-4041","UNIV AUTONOMA BAJA CALIFORNIA, INST INVESTIGACION & DESARROLLO EDUCATIVO","KM 103 CARRETERA TIJUANA-ENSENADA, ENSENADA, BAJA CALIFORNIA, MEXICO, CP 22860","English, Spanish","Education & Educational Research"
"REVISTA ELECTRONICA DE LEEME","1575-9563","1575-9563","UNIV RIOJA, DEPT EXPRESION ARTISTICA","AV PAZ 93, LOGRONO, SPAIN, 26006","English, Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA ELECTRONICA INTERUNIVERSITARIA DE FORMACION DEL PROFESORADO","1575-0965","1575-0965","ASOC UNIV FORMACION PROFESORADO-AUFOP","UNIV ZARAGOZA, FAC EDUC, PEDRO CERBUNA, 12, CAMPUS SAN FRANCISCO, ZARAGOZA, SPAIN, 50009","English, Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA ELETRONICA DE ESTRATEGIA E NEGOCIOS-REEN","1984-3372","1984-3372","UNIV SUL SANTA CATARINA-UNISUL","RUA TRAJANO 219, FLORIANOPOLIS, BRAZIL, SC, 00000","English, Portuguese, Spanish","Management | Economics & Business"
"REVISTA ELETRONICA EM GESTAO EDUCACAO E TECNOLOGIA AMBIENTAL","2236-1170","2236-1170","UNIV FEDERAL SANTA MARIA","CIDADE UNIV, BAIRRO CAMOBI, SANTA MARIA, BRAZIL, RS, 97105-900","","Environmental Studies | Environment/Ecology"
"REVISTA ELETRONICA PESQUISEDUCA","2177-1626","2177-1626","EDITORA UNIV LEOPOLDLANUM","EDITORA UNIV LEOPOLDLANUM, SANTOS, BRAZIL, 00000","","Social Sciences, General | Education & Educational Research"
"REVISTA ELETRONICA VENTILANDO ACERVOS","2318-6062","2318-6062","MUSEU VICTOR MEIRELLES-IBRAM","RUA RAFAEL BANDEIRA, 41, FLORIANOPOLIS, BRAZIL, SC, 88015-450","","Humanities, Multidisciplinary"
"REVISTA E-MERCATORIA","1692-3960","1692-3960","UNIV EXTERNADO COLOMBIA","CALLE 12 NO 1-17 ESTE, BOGOTA, COLOMBIA, 00000","","Social Sciences, General | Law"
"REVISTA EMPRESA Y HUMANISMO","1139-7608","2254-6413","UNIV NAVARRA","UNIV NAVARRA, PAMPLONA, SPAIN, NAVARRA, E-31080","","Business | Economics & Business"
"REVISTA ENIAC PESQUISA","2316-2341","2316-2341","FAC ENIAC","R FORCA PUBLICA, 89-CENTRO, GUARULHOS, BRAZIL, SP 07012-030","Portuguese","Management | Economics & Business"
"REVISTA ENTRELINGUAS","2447-4045","2447-3529","UNESP-FACULDADE CIENCIAS & LETRAS","DEPT CIENCIAS EDUCACAO, RODOVIA ARARAQUARA-JAU, KM 1-CAIXA POSTAL 174, ARARAQUARA, BRAZIL, SP 14800-901","English, Portuguese","Social Sciences, General | Education & Educational Research"
"REVISTA ESPANOLA DE ANESTESIOLOGIA Y REANIMACION","0034-9356","2340-3284","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","","Clinical Medicine | Anesthesiology"
"REVISTA ESPANOLA DE ANTROPOLOGIA AMERICANA","0556-6533","1988-2718","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","","Social Sciences, General | Anthropology"
"REVISTA ESPANOLA DE CIENCIA POLITICA-RECP","1575-6548","2173-9870","ASOC ESPANOLA CIENCIA POLITICA & ADM-AECPA","MONTALBAN, 8, MADRID, SPAIN, 28014","English, Spanish","Political Science | Social Sciences, General"
"REVISTA ESPANOLA DE COMUNICACION EN SALUD","","1989-9882","UNIV CARLOS III MADRID","DEPT PERIODISMO & COMUNICACION AUDIOVISUAL DESPACHO 18 2 E22 C/MADRID, NO 135, GETAFE, MADRID, SPAIN, 28903","Spanish","Communication"
"REVISTA ESPANOLA DE DISCAPACIDAD-REDIS","2340-5104","2340-5104","CENTRO ESPANOL DOCUMENTACION DISCAPACIDAD-CEDD","REAL PATRONATO DISCAPACIDAD, CALLE SERRANO, 140, MADRID, SPAIN, 28006","Spanish","Social Sciences, General | Rehabilitation"
"REVISTA ESPANOLA DE EDUCACION COMPARADA","1137-8654","2174-5382","UNIV NACIONAL EDUCACION DISTANCIA","PO SENDA REY,BRAVO MURILLO 38, MADRID, SPAIN, 7-28040","English, French, Spanish","Social Sciences, General | Education & Educational Research"
"REVISTA ESPANOLA DE ESTUDIOS AGROSOCIALES Y PESQUEROS-REEAP","1575-1198","1575-1198","MINISTERIO AGRICULTURA PESCA & ALIMENTACION, SECRETARIA GENERAL TECNICA","CENTRO PUBLICACIONES, PASEO INFANTA ISABEL 1, MADRID, SPAIN, 28071","","Agriculture, Multidisciplinary | Agricultural Sciences"
"REVISTA ESPANOLA DE NUTRICION HUMANA Y DIETETICA","2173-1292","2174-5145","ASOC ESPANOLA DIETISTAS NUTRICIONISTAS","C CONSELL CENT, 314 PRAL B, BARCELONA, SPAIN, 08007","English, Spanish","Biology & Biochemistry | Nutrition & Dietetics"
"REVISTA ESPANOLA DE ORIENTACION Y PSICOPEDAGOGIA","1989-7448","1989-7448","UNIV NACL EDUCACION DISTANCIA-UNED, FAC EDUCACION","C/ JUAN DEL ROSAL, 14 DESPACHO 2 57, MADRID, SPAIN, 28040","","Psychiatry/Psychology | Psychology, Applied"
"REVISTA ESPANOLA DE SOCIOLOGIA","1578-2824","1578-2824","FED ESPANOLA SOCIOLOGIA","CALLE ALFONSO XII 18, 5O, MADRID, SPAIN, 28014","","Social Sciences, General | Sociology"
"REVISTA ESTUDIOS HEMISFERICOS Y POLARES","0718-9230","0718-9230","CENTRO ESTUDIOS HEMISFERICOS & POLARES","CALLE ROMA, 116, CALETA ABARCA, VINA DEL MAR, CHILE, 2580060","English, Spanish","Social Sciences, General | Area Studies"
"REVISTA ESTUDIOS SOCIO-JURIDICOS","0124-0579","2145-4531","UNIV ROSARIO, FAC JURISPRUDENCIA","CARRERA 6 NO 15-18 EDIFICIO JOCKEY CLUB, BOGOTA, COLOMBIA, DC, 00000","English, Spanish",""
"REVISTA ESTUDOS INSTITUCIONAIS-JOURNAL OF INSTITUTIONAL STUDIES","","2447-5467","UNIV FEDERAL RIO JANEIRO LAW SCH","RUA MONCORVO FILHO, NO 8, PRIMEIRO ANDAR, COORDENACAO PESQUISA, PRACA REPUBLICA, CENTRO, RIO DE JANEIRO, BRAZIL, RJ, CEP20211-340","Portuguese, Spanish, English","Law"
"REVISTA ESTUDOS POLITICOS","2177-2851","2177-2851","UNIV FEDERAL FLUMINENSE","CAMPUS DE PRAIA VERMELHA, AVE MILTON TAVARES SOUZA S-N, RIO DE JANEIRO, BRAZIL, 24210-340","","Political Science | Social Sciences, General"
